Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
get_specific_books,12922,191,9,452,61.03,0.000%,427.20180,204.29,103.74,489.7
TOTAL,12922,191,9,452,61.03,0.000%,427.20180,204.29,103.74,489.7
