Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
get_specific_books,151113,16,1,141,10.27,0.000%,5029.89049,2334.52,1150.76,475.3
TOTAL,151113,16,1,141,10.27,0.000%,5029.89049,2334.52,1150.76,475.3
