Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
get_specific_books,708,3904,125,5038,1520.64,0.000%,20.31739,9.72,4.93,489.7
TOTAL,708,3904,125,5038,1520.64,0.000%,20.31739,9.72,4.93,489.7
