Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
get_specific_books,12185,205,10,351,65.70,0.000%,402.25142,191.28,97.68,486.9
TOTAL,12185,205,10,351,65.70,0.000%,402.25142,191.28,97.68,486.9
