Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
get_specific_books,12877,194,11,578,99.68,0.000%,426.34838,200.44,103.54,481.4
TOTAL,12877,194,11,578,99.68,0.000%,426.34838,200.44,103.54,481.4
