Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
get_specific_books,74081,31,1,266,28.37,0.000%,2474.97661,1148.70,566.23,475.3
TOTAL,74081,31,1,266,28.37,0.000%,2474.97661,1148.70,566.23,475.3
