Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
get_specific_books,5096,499,17,1214,257.45,0.000%,166.21005,79.32,40.36,488.7
TOTAL,5096,499,17,1214,257.45,0.000%,166.21005,79.32,40.36,488.7
