Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
get_specific_books,576,4927,128,6447,1932.51,0.000%,15.87258,7.59,3.85,489.6
TOTAL,576,4927,128,6447,1932.51,0.000%,15.87258,7.59,3.85,489.6
