Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
get_specific_books,36637,67,0,244,47.77,0.000%,1219.89145,566.17,279.09,475.3
TOTAL,36637,67,0,244,47.77,0.000%,1219.89145,566.17,279.09,475.3
