Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
get_specific_books,5501,462,12,803,147.23,0.000%,179.68903,85.71,43.64,488.4
TOTAL,5501,462,12,803,147.23,0.000%,179.68903,85.71,43.64,488.4
