Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
get_specific_books,550,5173,220,6830,2004.72,0.000%,15.05900,7.20,3.66,489.7
TOTAL,550,5173,220,6830,2004.72,0.000%,15.05900,7.20,3.66,489.7
